CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
AGRI,5104C0BC-DAB4-43B2-8733-714823EAFCB4,VALID,"Maatalous, kalastus, metsätalous ja elintarvikkeet","Jordbruk, fiske, skogsbruk och livsmedel","Agriculture, fisheries, forestry and food",,,"This concept identifies datasets covering such domains as agriculture, fisheries, forestry or food.",,,
ECON,662870E0-2BF4-4A9D-8DD4-69346FCEDF30,VALID,Talous ja raha-asiat,Ekonomi och finans,Economy and finance,,,"This concept identifies datasets covering such domains as economy or finance.",,,
EDUC,4852447B-339D-4C9A-A850-A621E3ED4C7D,VALID,"Koulutus, kulttuuri ja urheilu","Utbildning, kultur och sport","Education, culture and sport",,,"This concept identifies datasets covering such domains as education, culture or sport.",,,
ENER,958FCEA8-2756-4B03-83FD-B016E1057B8E,VALID,Energia,Energi,Energy,,,"This concept identifies datasets covering the domain of energy.",,,
ENVI,152B2ECB-69DC-4EDA-A6C0-D9A42E72709A,VALID,Ympäristö,Miljö,Environment,,,"This concept identifies datasets covering the domain of environment.",,,
GOVE,3CE9BA12-C3F3-498F-BAE6-09CDB80971AA,VALID,Valtioneuvosto ja julkinen sektori,Regeringen och den offentliga sektorn,Government and public sector,,,"This concept identifies datasets covering such domains as government or public sector.",,,
HEAL,4EAEAEA6-0C80-40A2-8CD9-D7F39CDE7B56,VALID,Terveys,Hälsa,Health,,,"This concept identifies datasets covering the domain of health.",,,
INTR,268D80D0-DDE7-4783-9757-E10B0FF7CC2D,VALID,Kansainväliset kysymykset,Internationella frågor,International issues,,,"This concept identifies datasets covering the domain of international issues.",,,
JUST,17AA6D93-72E2-4756-B054-A05DF8289F35,VALID,"Oikeus, oikeusjärjestelmä ja yleinen turvallisuus","Rättvisa, rättsliga system och allmän säkerhet","Justice, legal system and public safety",,,"This concept identifies datasets covering such domains as justice, legal system or public safety.",,,
REGI,26362222-C4A2-4F4D-BD09-879824D513C1,VALID,Alueet ja kaupungit,Regioner och städer,Regions and cities,,,"This concept identifies datasets covering such domains as regions or cities.",,,
SOCI,419FE118-3EE2-4FBB-ABE0-55706827A1EB,VALID,Väestö ja yhteiskunta,Befolkning och samhälle,Population and society,,,"This concept identifies datasets covering such domains as population or society.",,,
TECH,6C4AB782-DB04-46C6-9496-A046927B85C6,VALID,Tiede ja teknologia,Vetenskap och teknik,Science and technology,,,"This concept identifies datasets covering such domains as science or technology.",,,
TRAN,253FF8C3-4A1D-48EC-B3B4-C9CE35B36EF4,VALID,Liikenne,Transport,Transport,,,"This concept identifies datasets covering the domain of transport.",,,